CODGEO;PMIMP;DECUC_Q2;DECUC_Q1;DECUC_Q3;BREV;DECUC_D1;DECUC_D9;DECUC_D1D9;DISP_Q2;DISP_Q1;DISP_Q3;TP60;DISP_D1;DISP_D9;DISP_D1D9;PACT;PPEN;PPSOC;PIMPOT;PPAT;NOTE_FILO;C;CC2S;NOTE_CNAM;A;APPA;ARSAS;AAAH;NOTE_CNAF
QP094004;31,5;12420;6580;20350;51,3;2130;27870;13,1;14760;11090;20570;33,5;8580;26020;3;78,2;14,1;17,5;-11,9;2,1;0;2968;601;0;1048;290;192;96;0
QP094005;31;11650;6420;17840;54,4;2120;25060;11,8;14670;11360;19190;35,2;8840;24270;2,7;70;18,5;19,7;-10,5;2,3;0;6509;1322;0;1909;643;458;187;0
QP094006;33,5;13570;8110;20740;44,8;3770;29760;7,9;15860;11600;20790;29,1;7370;28080;3,8;78,6;19,2;11,9;-13,5;3,8;1;1170;149;0;401;134;50;22;0
QP094007;36,8;12070;7180;19020;51,3;2430;27260;11,2;15380;11590;19450;31,8;8630;25150;2,9;79,9;12,3;17,3;-11,7;2,2;0;1630;270;0;537;183;81;32;0
QP094008;34,1;13100;6730;21060;48;1950;28430;14,6;14790;10350;20710;37,5;7560;26930;3,6;74,2;21,4;12,5;-12,2;4,1;1;1921;316;0;499;143;122;39;0
QP094009;41,2;11140;5600;21590;55,3;2680;33460;12,5;13140;7580;21610;47,8;4380;30570;7;88,7;12,8;9,5;-15,1;4,1;0;4656;643;0;1576;345;245;78;0
QP094010;38,2;12200;6720;23250;50,9;1520;32380;21,4;14030;10440;22310;39,3;7210;30580;4,2;70,5;24,5;13,5;-13,8;5,3;1;1578;334;0;522;162;154;31;0
QP094011;32;11490;7490;18070;54,9;3690;24020;6,5;14750;11870;19050;33,1;9200;23670;2,6;67,6;21,8;18,6;-9,9;1,9;0;1112;177;0;309;103;71;33;0
QP094012;30,5;12110;6740;18230;51,8;2320;24660;10,6;14830;11440;19050;34,4;8820;23760;2,7;66,1;22,8;18,9;-10,3;2,5;0;3593;757;0;1079;338;259;101;0
QP094013;33,4;12790;7490;19120;49,3;3380;25500;7,5;14860;11280;19530;33,4;8820;24570;2,8;71;21,5;15,4;-10,7;2,8;0;10906;2015;0;2693;804;622;236;0
QP094014;42;14050;7920;22480;45,9;3670;30750;8,4;16140;12040;21930;29,5;9100;28440;3,1;86;10,4;14,3;-12,5;1,8;0;3100;558;0;892;230;185;58;0
QP094015;33,7;12430;7320;18830;51,2;3250;25090;7,7;14840;11090;19600;34,2;9060;24970;2,8;77,3;13,6;17,7;-10,4;1,8;0;1747;376;0;613;209;138;49;0
QP094016;44,6;16410;8730;25540;37;4080;35180;8,6;17740;12230;25060;26,7;9170;32520;3,5;81,1;17,4;10,9;-14,1;4,7;0;2895;446;0;850;259;174;51;0
QP094017;30,1;12320;8200;17940;51,4;5300;23610;4,5;14960;12020;18970;32,6;9190;23340;2,5;75,2;16,7;16,9;-10,5;1,7;0;1680;289;0;424;143;91;34;0
QP094018;41;14830;8530;21060;43,3;4430;31400;7,1;16350;11730;21580;29,8;8510;28740;3,4;71,2;26,5;12,3;-13,5;3,5;0;856;134;0;209;66;42;12;0
QP094019;31;11760;6710;18340;54,6;1340;26490;19,8;14300;10740;19140;39,4;8130;25040;3,1;76,1;15,5;18;-11,9;2,3;0;935;241;0;340;127;82;9;0
QP094020;27,9;11110;6580;17490;57,2;2880;24450;8,5;14190;10850;18840;37,6;8700;23990;2,8;71,4;17;20;-10,2;1,8;0;1201;312;0;395;111;110;35;0
QP094021;31,5;11590;6500;18670;55,7;3300;26070;7,9;14290;10850;19150;39,2;8620;24900;2,9;70;20,6;17,7;-10,7;2,4;0;2635;521;0;774;265;179;60;0
